m13_experiment,m13_epoch_min,m13_loss_rate,m13_density,m13_background_mode,method,n,offered_legit_resolution_rate_mean,offered_legit_resolution_rate_sd,offered_legit_resolution_rate_ci95_low,offered_legit_resolution_rate_ci95_high,observed_legit_resolution_rate_mean,observed_legit_resolution_rate_sd,observed_legit_resolution_rate_ci95_low,observed_legit_resolution_rate_ci95_high,false_defer_observed_legit_rate_mean,false_defer_observed_legit_rate_sd,false_defer_observed_legit_rate_ci95_low,false_defer_observed_legit_rate_ci95_high,p95_resolution_delay_ms_mean,p95_resolution_delay_ms_sd,p95_resolution_delay_ms_ci95_low,p95_resolution_delay_ms_ci95_high,p99_resolution_delay_ms_mean,p99_resolution_delay_ms_sd,p99_resolution_delay_ms_ci95_low,p99_resolution_delay_ms_ci95_high,reserve_grant_legit_p95_delay_ms_mean,reserve_grant_legit_p95_delay_ms_sd,reserve_grant_legit_p95_delay_ms_ci95_low,reserve_grant_legit_p95_delay_ms_ci95_high,reserve_grant_legit_p99_delay_ms_mean,reserve_grant_legit_p99_delay_ms_sd,reserve_grant_legit_p99_delay_ms_ci95_low,reserve_grant_legit_p99_delay_ms_ci95_high,attack_aes_amplification_mean,attack_aes_amplification_sd,attack_aes_amplification_ci95_low,attack_aes_amplification_ci95_high,actual_observation_loss_rate_mean,actual_observation_loss_rate_sd,actual_observation_loss_rate_ci95_low,actual_observation_loss_rate_ci95_high,reserve_grant_legit_count_mean,reserve_grant_legit_count_sd,reserve_grant_legit_count_ci95_low,reserve_grant_legit_count_ci95_high,reserve_grant_background_count_mean,reserve_grant_background_count_sd,reserve_grant_background_count_ci95_low,reserve_grant_background_count_ci95_high,reserve_grant_attack_count_mean,reserve_grant_attack_count_sd,reserve_grant_attack_count_ci95_low,reserve_grant_attack_count_ci95_high,budget_skip_legit_count_mean,budget_skip_legit_count_sd,budget_skip_legit_count_ci95_low,budget_skip_legit_count_ci95_high,budget_skip_background_count_mean,budget_skip_background_count_sd,budget_skip_background_count_ci95_low,budget_skip_background_count_ci95_high,budget_skip_attack_count_mean,budget_skip_attack_count_sd,budget_skip_attack_count_ci95_low,budget_skip_attack_count_ci95_high
main,1,0.0,100.0,unique,P3-NoPersist,20,0.530902,0.085558,0.49086,0.570945,0.530902,0.085558,0.49086,0.570945,0.469351,0.08548,0.429345,0.509357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49626.864,123.111601,49569.245997,49684.482003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.7,48.80908,58.856647,104.543353,1856.1,53.95505,1830.84826,1881.35174,22558.65,143.347673,22491.561224,22625.738776
main,1,0.0,100.0,unique,P3-Persist,20,0.70529,0.00711,0.701962,0.708618,0.70529,0.00711,0.701962,0.708618,0.300297,0.007113,0.296968,0.303626,0.0,0.0,0.0,0.0,20.1,40.990243,0.915976,39.284024,63.25,48.239398,40.673267,85.826733,100.0,0.0,100.0,100.0,49655.088,119.442907,49599.186999,49710.989001,0.0,0.0,0.0,0.0,214.55,13.504288,208.229799,220.870201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.05,11.019003,49.892948,60.207052,1856.05,54.019952,1830.767884,1881.332116,22558.7,143.304644,22491.631362,22625.768638
main,1,0.0,1000.0,unique,BudgetDoS,20,0.56632,0.066637,0.535133,0.597507,0.56632,0.066637,0.535133,0.597507,0.43368,0.066637,0.402493,0.464867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45648.288,350.532672,45484.233659,45812.342341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.95,172.800303,1026.076969,1187.823031,24789.2,195.751615,24697.585424,24880.814576,247662.65,470.854797,247442.283172,247883.016828
main,1,0.0,1000.0,unique,P3-NoPersist,20,0.558393,0.067296,0.526897,0.589888,0.558393,0.067296,0.526897,0.589888,0.441784,0.067329,0.410273,0.473294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45644.256,351.860475,45479.580229,45808.931771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.25,35.517046,60.627511,93.872489,18519.85,161.2583,18444.378792,18595.321208,22571.85,105.45055,22522.497624,22621.202376
main,1,0.0,1000.0,unique,P3-Persist,20,0.706148,0.007061,0.702843,0.709452,0.706148,0.007061,0.702843,0.709452,0.299293,0.008031,0.295534,0.303052,0.0,0.0,0.0,0.0,25.0,44.426166,4.207914,45.792086,62.0,48.514783,39.294382,84.705618,100.0,0.0,100.0,100.0,45647.28,341.430267,45487.485716,45807.074284,0.0,0.0,0.0,0.0,211.0,15.754699,203.626574,218.373426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.25,13.309573,43.020928,55.479072,18519.8,161.199321,18444.356396,18595.243604,22571.9,105.362982,22522.588607,22621.211393
main,1,0.0,5000.0,unique,BudgetDoS,20,0.523209,0.104222,0.474432,0.571986,0.523209,0.104222,0.474432,0.571986,0.476791,0.104222,0.428014,0.525568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33430.32,437.981204,33225.338487,33635.301513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.4,263.438877,1099.10681,1345.69319,124250.85,324.839276,124098.820539,124402.879461,248292.6,465.814781,248074.591972,248510.608028
main,1,0.0,5000.0,unique,P3-NoPersist,20,0.542534,0.081498,0.504391,0.580676,0.542534,0.081498,0.504391,0.580676,0.457683,0.081498,0.41954,0.495825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33434.352,441.27041,33227.831091,33640.872909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.8,34.729936,66.54589,99.05411,92889.9,244.01443,92775.697731,93004.102269,22551.45,118.42496,22496.025413,22606.874587
main,1,0.0,5000.0,unique,P3-Persist,20,0.707047,0.008217,0.703201,0.710893,0.707047,0.008217,0.703201,0.710893,0.298758,0.008651,0.29471,0.302807,0.0,0.0,0.0,0.0,34.55,48.344678,11.923994,57.176006,60.0,47.155956,37.930333,82.069667,100.0,0.0,100.0,100.0,33449.472,450.012423,33238.859703,33660.084297,0.0,0.0,0.0,0.0,213.25,10.109271,208.518715,217.981285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.35,13.323011,45.114639,57.585361,92889.6,244.141547,92775.338239,93003.861761,22551.45,118.42496,22496.025413,22606.874587
main,1,0.2,100.0,unique,BudgetDoS,20,0.446001,0.06573,0.415238,0.476764,0.555949,0.081668,0.517727,0.594171,0.444051,0.081668,0.405829,0.482273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49668.192,117.02309,49613.423508,49722.960492,0.19982,0.000717,0.199484,0.200155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.25,173.186506,830.19622,992.30378,1982.95,44.136719,1962.293379,2003.606621,197506.9,384.226482,197327.076471,197686.723529
main,1,0.2,100.0,unique,P3-NoPersist,20,0.448457,0.052938,0.423682,0.473233,0.559134,0.066686,0.527924,0.590343,0.441183,0.066742,0.409947,0.472419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49666.176,101.624251,49618.614386,49713.737614,0.19982,0.000717,0.199484,0.200155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3,23.476976,52.312437,74.287563,1486.85,41.697248,1467.335087,1506.364913,17989.15,134.166148,17926.35831,18051.94169
main,1,0.2,100.0,unique,P3-Persist,20,0.553429,0.00766,0.549844,0.557014,0.689848,0.008438,0.685899,0.693797,0.315029,0.008594,0.311007,0.319051,0.0,0.0,0.0,0.0,10.0,30.779351,-4.405179,24.405179,54.0,49.910446,30.641192,77.358808,100.0,0.0,100.0,100.0,49688.352,89.706337,49646.368142,49730.335858,0.19982,0.000717,0.199484,0.200155,155.7,11.38836,150.370084,161.029916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4,9.637645,41.889443,50.910557,1486.85,41.697248,1467.335087,1506.364913,17989.1,134.148347,17926.316641,18051.883359
main,1,0.2,1000.0,unique,BudgetDoS,20,0.44736,0.051226,0.423385,0.471334,0.560659,0.064886,0.530292,0.591027,0.439341,0.064886,0.408973,0.469708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45635.184,311.307219,45489.487737,45780.880263,0.19987,0.000668,0.199557,0.200183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.4,138.864341,830.409488,960.390512,19776.9,175.371756,19694.823492,19858.976508,197717.5,485.425424,197490.313908,197944.686092
main,1,0.2,1000.0,unique,P3-NoPersist,20,0.452485,0.044767,0.431533,0.473437,0.567123,0.057131,0.540385,0.593862,0.433122,0.057295,0.406307,0.459937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45633.168,314.941531,45485.770827,45780.565173,0.19987,0.000668,0.199557,0.200183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2,17.896192,46.824324,63.575676,14766.8,141.180586,14700.725452,14832.874548,18029.65,123.158125,17972.010223,18087.289777
main,1,0.2,1000.0,unique,P3-Persist,20,0.550571,0.009044,0.546338,0.554804,0.689817,0.007535,0.686291,0.693344,0.315005,0.008137,0.311196,0.318813,0.0,0.0,0.0,0.0,15.0,36.634755,-2.145593,32.145593,59.75,50.065089,36.318817,83.181183,98.1,8.497058,94.123254,102.076746,45647.28,304.681499,45504.684669,45789.875331,0.19987,0.000668,0.199557,0.200183,153.4,13.639725,147.016412,159.783588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8,11.954299,36.205216,47.394784,14766.8,141.272637,14700.682371,14832.917629,18029.65,123.002043,17972.083272,18087.216728
main,1,0.2,5000.0,unique,BudgetDoS,20,0.423722,0.075458,0.388406,0.459037,0.529199,0.094573,0.484937,0.57346,0.470801,0.094573,0.42654,0.515063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33398.064,468.899375,33178.612337,33617.515663,0.199859,0.000472,0.199638,0.20008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.05,193.708265,876.391741,1057.708259,99224.9,319.049724,99075.580133,99374.219867,198352.2,360.951316,198183.269584,198521.130416
main,1,0.2,5000.0,unique,P3-NoPersist,20,0.438823,0.059316,0.411063,0.466584,0.548078,0.074643,0.513144,0.583012,0.452264,0.07461,0.417345,0.487182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33401.088,463.407737,33184.206503,33617.969497,0.199859,0.000472,0.199638,0.20008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.75,14.735832,52.853418,66.646582,74173.85,240.385058,74061.34633,74286.35367,18004.7,107.897173,17954.202568,18055.197432
main,1,0.2,5000.0,unique,P3-Persist,20,0.552805,0.012551,0.546931,0.558679,0.690178,0.010381,0.685319,0.695036,0.31552,0.011027,0.31036,0.320681,0.0,0.0,0.0,0.0,34.15,47.883933,11.739629,56.560371,60.0,50.262469,36.47644,83.52356,100.0,0.0,100.0,100.0,33413.184,460.481195,33197.672167,33628.695833,0.199859,0.000472,0.199638,0.20008,155.85,9.499446,151.404122,160.295878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2,11.12891,37.99151,48.40849,74173.3,240.366628,74060.804955,74285.795045,18004.6,107.69665,17954.196416,18055.003584
main,1,0.4,100.0,unique,BudgetDoS,20,0.313489,0.057578,0.286541,0.340436,0.523167,0.096828,0.47785,0.568484,0.476833,0.096828,0.431516,0.52215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49600.656,106.330233,49550.891919,49650.420081,0.399763,0.00084,0.39937,0.400156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.6,142.253813,663.023166,796.176834,1472.8,42.477982,1452.919693,1492.680307,147553.25,261.742114,147430.75092,147675.74908
main,1,0.4,100.0,unique,P3-NoPersist,20,0.32775,0.040642,0.308729,0.346771,0.546769,0.067603,0.51513,0.578408,0.453692,0.067741,0.421988,0.485396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49615.776,108.643707,49564.92918,49666.62282,0.399763,0.00084,0.39937,0.400156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.65,18.319604,40.076161,57.223839,1104.05,38.082286,1086.226941,1121.873059,13460.9,113.073753,13407.979854,13513.820146
main,1,0.4,100.0,unique,P3-Persist,20,0.400575,0.01033,0.39574,0.405409,0.668126,0.009772,0.663552,0.672699,0.336391,0.009531,0.33193,0.340851,0.0,0.0,0.0,0.0,9.55,29.269123,-4.148371,23.248371,60.75,49.424983,37.618396,83.881604,94.9,22.341606,84.443806,105.356194,49645.008,105.156954,49595.793031,49694.222969,0.399763,0.00084,0.39937,0.400156,99.5,13.504385,93.179753,105.820247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,8.826396,31.56912,39.83088,1104.05,38.082286,1086.226941,1121.873059,13460.9,113.041632,13407.994888,13513.805112
main,1,0.4,1000.0,unique,BudgetDoS,20,0.337076,0.038484,0.319065,0.355087,0.560224,0.064268,0.530146,0.590302,0.439776,0.064268,0.409698,0.469854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45561.6,310.324792,45416.363527,45706.836473,0.399687,0.000685,0.399366,0.400007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.9,104.018166,627.218,724.582,14793.25,146.298856,14724.780028,14861.719972,147806.6,388.006023,147625.007592,147988.192408
main,1,0.4,1000.0,unique,P3-NoPersist,20,0.337463,0.035782,0.320716,0.35421,0.560652,0.057858,0.533573,0.58773,0.439645,0.057925,0.412535,0.466754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45559.584,306.084168,45416.3322,45702.8358,0.399687,0.000685,0.399366,0.400007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4,23.58724,37.360832,59.439168,11040.0,127.967101,10980.109553,11099.890447,13476.6,98.839796,13430.341552,13522.858448
main,1,0.4,1000.0,unique,P3-Persist,20,0.405555,0.008969,0.401358,0.409753,0.673816,0.008168,0.669993,0.677639,0.33132,0.009567,0.326842,0.335797,0.0,0.0,0.0,0.0,22.3,41.148128,3.042083,41.557917,61.25,46.392916,39.537447,82.962553,100.0,0.0,100.0,100.0,45566.64,300.866427,45425.830178,45707.449822,0.399687,0.000685,0.399366,0.400007,100.9,8.084423,97.116374,104.683626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.95,8.350701,27.041752,34.858248,11040.0,127.967101,10980.109553,11099.890447,13476.45,98.913825,13430.156905,13522.743095
main,1,0.4,5000.0,unique,BudgetDoS,20,0.328434,0.047906,0.306014,0.350855,0.547698,0.080034,0.510241,0.585155,0.452302,0.080034,0.414845,0.489759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33455.52,474.577659,33233.410818,33677.629182,0.399673,0.000647,0.39937,0.399976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.8,122.27002,638.575869,753.024131,74227.45,230.033287,74119.791108,74335.108892,148420.2,359.415695,148251.988277,148588.411723
main,1,0.4,5000.0,unique,P3-NoPersist,20,0.330611,0.046049,0.30906,0.352163,0.551264,0.076683,0.515375,0.587153,0.449132,0.076841,0.413169,0.485094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33456.528,463.955561,33239.390113,33673.665887,0.399673,0.000647,0.39937,0.399976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9,14.359666,37.17947,50.62053,55511.6,192.105892,55421.691675,55601.508325,13454.7,97.262044,13409.179962,13500.220038
main,1,0.4,5000.0,unique,P3-Persist,20,0.402741,0.010896,0.397642,0.40784,0.671334,0.011015,0.666179,0.67649,0.333547,0.011513,0.328159,0.338935,0.0,0.0,0.0,0.0,10.0,30.779351,-4.405179,24.405179,62.25,45.31977,41.039695,83.460305,95.0,22.36068,84.53488,105.46512,33477.696,470.408084,33257.53824,33697.85376,0.399673,0.000647,0.39937,0.399976,98.75,7.42595,95.274548,102.225452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,9.748954,29.537349,38.662651,55511.5,192.229988,55421.533596,55601.466404,13454.5,97.281198,13408.970998,13500.029002
main,15,0.0,100.0,unique,BudgetDoS,20,0.520102,0.102348,0.472202,0.568003,0.520102,0.102348,0.472202,0.568003,0.479898,0.102348,0.431997,0.527798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49624.848,131.056323,49563.511753,49686.184247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.15,264.945729,1103.151582,1351.148418,2473.9,59.421687,2446.089795,2501.710205,247452.95,381.510361,247274.397655,247631.502345
main,15,0.0,100.0,unique,P3-NoPersist,20,0.561372,0.046317,0.539695,0.583049,0.561372,0.046317,0.539695,0.583049,0.438861,0.046454,0.41712,0.460602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49647.024,117.602021,49591.98456,49702.06344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.55,36.727267,63.36111,97.73889,1856.1,54.038875,1830.809028,1881.390972,22558.6,143.384797,22491.493849,22625.706151
